Time,User full name,Affected user,Event context,Component,Event name,Description,Origin
"17/12/20, 22:30",anonfirstname73 anonlastname73,-,Course: test_anon,Quiz,Course module instance list viewed,The user with id '185' viewed the instance list for the module 'quiz' in the course with id '11'.,
"17/12/20, 22:30",anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,Course: test_anon,User report,Grade user report viewed,The user with id '185' viewed the user report in the gradebook.,
"17/12/20, 21:39",anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '716'.,
"17/12/20, 21:39",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"17/12/20, 21:38",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Course: test_anon,User report,Grade user report viewed,The user with id '176' viewed the user report in the gradebook.,
"17/12/20, 21:38",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"17/12/20, 19:22",anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: test_anon,Overview report,Grade overview report viewed,The user with id '143' viewed the overview report in the gradebook.,
"17/12/20, 19:22",anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: test_anon,User report,Grade user report viewed,The user with id '143' viewed the user report in the gradebook.,
"17/12/20, 18:05",anonfirstname59 anonlastname59,-,Quiz: Weekly Short Quiz,Quiz,Course module viewed,The user with id '171' viewed the 'quiz' activity with course module id '664'.,
"17/12/20, 18:04",anonfirstname59 anonlastname59,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '171' viewed the 'quiz' activity with course module id '716'.,
"17/12/20, 18:04",anonfirstname59 anonlastname59,anonfirstname59 anonlastname59,Course: test_anon,User report,Grade user report viewed,The user with id '171' viewed the user report in the gradebook.,
"17/12/20, 14:43",anonfirstname68 anonlastname68,-,Course: test_anon,System,Course viewed,The user with id '180' viewed the course with id '11'.,
"17/12/20, 14:13",anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: test_anon,System,Course user report viewed,The user with id '143' viewed the user report for the course with id '11' for user with id '143'.,
"17/12/20, 13:52",anonfirstname12 anonlastname12,anonfirstname63 anonlastname63,Quiz: E-exam,Quiz,Quiz attempt reviewed,The user with id '124' has had their attempt with id '827' reviewed by the user with id '175' for the quiz with course module id '716'.,
"17/12/20, 13:51",anonfirstname12 anonlastname12,-,Quiz: E-exam,Quiz,Quiz report viewed,The user with id '124' viewed the report 'overview' for the quiz with course module id '716'.,
