id,userid,forumid,discussionid,postid,firstread,lastread
6411,172,45,36,278,1600174253,1601138419
6412,173,45,35,277,1604672478,1604672478
6413,173,45,35,276,1604672478,1604672478
6414,173,45,35,275,1604672478,1604672478
6415,173,45,35,274,1604672478,1604672478
6416,173,45,35,273,1604672478,1604672478
6417,173,45,35,272,1604672478,1604672478
6418,173,45,35,271,1604672478,1604672478
6419,173,45,35,270,1604672478,1604672478
6420,173,45,35,269,1604672478,1604672478
6421,173,45,35,268,1604672478,1604672478
6422,173,45,35,267,1604672478,1604672478
6423,173,45,35,266,1604672478,1604672478
6424,173,45,35,265,1602891761,1604672478
6425,173,45,35,264,1602891761,1604672478
6426,173,45,35,263,1602891761,1604672478
6427,173,45,35,262,1602891761,1604672478
6428,173,45,35,261,1602891761,1604672478
6429,173,45,35,260,1602891761,1604672478
6430,173,45,36,295,1600255399,1602076416
6431,173,45,36,294,1600255399,1602076416
6432,173,45,36,293,1600255399,1602076416
6433,173,45,36,292,1600255399,1602076416
6434,173,45,36,291,1600255399,1602076416
6435,173,45,36,290,1600255399,1602076416
6436,173,45,36,289,1600255399,1602076416
6437,173,45,36,288,1600255399,1602076416
6438,173,45,36,287,1600255399,1602076416
6439,173,45,36,286,1600255399,1602076416
6440,173,45,36,285,1600255399,1602076416
6441,173,45,36,284,1600255399,1602076416
6442,173,45,36,283,1600255399,1602076416
6443,173,45,36,282,1600255399,1602076416
6444,173,45,36,281,1600255399,1602076416
6445,173,45,36,280,1600255399,1602076416
6446,173,45,36,279,1600255399,1602076416
6447,173,45,36,303,1602076416,1602076416
6448,173,45,36,302,1602076416,1602076416
6449,173,45,36,301,1602076416,1602076416
6450,173,45,36,300,1602076416,1602076416
6451,173,45,36,299,1602076416,1602076416
6452,173,45,36,298,1602076416,1602076416
6453,173,45,34,258,1602074739,1602074739
6454,173,45,36,296,1600255663,1602076416
6455,173,45,36,278,1600255399,1602076416
6456,174,45,33,257,1607892241,1608674811
6457,174,45,33,256,1607892241,1608674811
6458,174,45,35,276,1604239716,1605270649
6459,174,45,35,273,1603432742,1605270649
6460,174,45,35,272,1603432742,1605270649
6461,174,45,35,277,1604580562,1605270649
6462,174,45,35,263,1601545148,1605270649
6463,174,45,35,262,1601545148,1605270649
6464,174,45,35,261,1601472736,1605270649
6465,174,45,35,260,1601472736,1605270649
6466,174,45,35,264,1603206825,1605270649
6467,174,45,35,275,1603432742,1605270649
6468,174,45,35,274,1603432742,1605270649
6469,174,45,35,271,1603432742,1605270649
6470,174,45,35,270,1603432742,1605270649
6471,174,45,35,269,1603432742,1605270649
6472,174,45,35,268,1603432742,1605270649
6473,174,45,35,267,1603206825,1605270649
6474,174,45,35,266,1603206825,1605270649
6475,174,45,35,265,1603206825,1605270649
6476,174,45,34,258,1601702254,1602942713
6477,174,45,35,259,1601412186,1605270649
6478,174,45,36,295,1600255645,1602942501
6479,174,45,36,294,1600255645,1602942501
6480,174,45,36,293,1600255645,1602942501
6481,174,45,36,292,1600255645,1602942501
